lost,managers,returns,asset_classes,yrs_client,profit,priority,appusage,AUM,satisfaction
0,2,-0.004932077,1,1.811784082,1,2,0.1006744,454,7
0,6,-0.00423617,3,2.089628278,2,3,0.17760231,476,7
1,5,0.000212864,4,2.8422672,2,9,0.082734809,511,6
0,5,-0.003727783,2,1.70971092,0,5,0.18474803,395,4
0,13,-0.008343078,1,1.980863626,1,4,0.055033836,386,4
1,9,0.006514289,3,2.778447122,6,9,0.297055905,521,6
0,9,-0.004396178,1,1.505185258,2,5,0.085622065,448,6
0,13,-0.002931345,4,2.584962764,5,6,0.177942959,427,5
0,12,-0.00725385,1,2.294611507,3,3,0.201072356,431,6
0,4,-0.001199842,1,2.58759252,3,2,0.1373399,259,2
0,10,-0.001669394,5,2.479610736,2,9,0.136450293,463,5
0,8,-0.007231205,2,1.800570663,1,6,0.165428121,399,7
1,8,0.003595363,2,3.340129367,6,8,0.224983225,477,6
0,5,-0.005885271,1,2.715113763,1,2,0.15056973,388,5
1,9,-0.005890783,2,1.440285948,2,5,0.172122287,409,3
0,6,-0.008801886,3,1.848663142,3,5,0.085912128,408,8
0,7,-0.013442927,4,2.008925758,0,5,0.14004191,269,8
0,8,-0.004383672,1,2.188916161,0,9,0.112365678,353,5
0,20,0.005711484,1,3.363940019,0,9,0.108727267,446,7
0,10,-0.000615263,1,1.559170321,2,3,0.177802895,482,2
0,5,-0.004622321,1,2.607010454,1,4,0.081698151,482,3
0,6,-0.007504388,1,1.209384842,0,2,0.06801352,462,5
0,5,-0.004859635,1,2.286991054,4,9,0.11972112,502,9
1,10,0.001447671,4,0.89032867,2,9,0.089880521,354,8
0,6,0.001090968,4,2.307768073,1,5,0.07669271,621,7
1,11,-0.002145537,5,2.887915141,5,2,0.126615993,572,6
0,5,-0.010844141,2,1.251735305,1,7,0.123979059,473,6
0,14,0.006660923,6,2.916381277,4,7,0.271155848,517,8
0,5,-0.004167698,1,1.758147933,2,4,0.170956828,479,9
0,9,-0.003275703,5,2.298588336,3,5,0.127638117,307,9
1,7,0.003071421,3,1.406077124,2,8,0.147048574,301,2
1,11,-0.003955907,4,2.758306774,2,7,0.171746472,295,9
0,8,0.002376064,5,2.832224258,1,6,0.206775001,356,7
0,7,0.004178617,1,2.306048336,5,8,0.35733059,561,6
0,5,-0.011160428,1,2.058856853,0,3,0.070695425,356,6
0,14,-0.006577839,2,2.025903222,5,7,0.222589161,540,7
0,11,-0.010457214,1,1.957925182,5,6,0.090062241,569,6
0,21,-0.006174228,5,3.334613536,1,6,0.287155626,407,5
0,13,-0.006468564,1,1.779489291,1,3,0.130618189,445,5
1,15,-0.001663575,3,2.383134948,3,9,0.308002013,549,8
0,9,-0.003247894,1,2.230012638,1,9,0.178219187,420,4
1,17,0.004705919,1,2.773569925,5,4,0.296492615,549,6
1,3,-0.006514635,1,1.596936642,3,9,0.14613698,349,7
1,16,-0.006835669,4,2.181465511,3,8,0.108851542,562,5
0,7,-0.002304018,1,2.00658313,0,8,0.14614787,280,5
0,5,-0.000441993,4,2.083193269,3,8,0.133463252,524,4
1,10,-8.88E-05,3,1.707520371,4,7,0.103703742,494,3
0,6,-0.00582619,2,2.014340732,2,3,0.06084653,309,2
1,3,-0.002218655,3,2.656000717,3,8,0.327397422,553,8
0,13,-0.008961967,4,2.940716278,2,8,0.08464498,454,9
0,16,-0.008550839,2,3.246339657,2,4,0.164138497,322,3
0,5,-0.003487099,5,3.237752297,2,7,0.194660185,378,8
0,4,-0.004627613,2,2.456111232,1,8,0.061880732,442,9
0,10,0.004558597,1,2.446101446,1,7,0.083906922,348,3
1,9,0.006366179,2,2.757702723,4,9,0.114174376,507,5
0,10,0.004485743,1,2.364770565,2,7,0.246779057,486,9
0,7,-0.001670029,2,2.486622164,5,5,0.091651569,389,7
0,12,-0.000823005,4,3.679405915,6,7,0.306975933,444,4
0,10,-0.004438769,1,1.725631646,2,6,0.130200534,386,8
0,3,0.00356955,4,1.82765047,0,1,0.191718126,424,7
1,21,0.001256205,5,2.486892627,2,5,0.144157004,371,9
1,16,-0.003408381,3,2.690665856,4,6,0.195144277,629,6
0,8,-0.001640752,1,1.832889009,2,4,0.171042307,586,7
0,13,-0.00353978,1,2.700621599,6,9,0.258035098,442,8
0,5,-0.003703057,1,2.521531289,2,4,0.245943996,351,3
0,8,-0.00512864,1,2.495949852,0,6,0.063902648,371,2
0,9,-0.004536344,1,1.444828352,3,9,0.129255039,348,5
0,12,-0.013902702,5,2.58779714,0,9,0.137816598,449,6
0,9,-0.008398969,2,2.05499756,3,9,0.113227563,304,3
0,11,-0.005922465,5,1.549719061,4,6,0.395233504,409,4
0,3,-0.009442768,3,1.986141799,2,5,0.065239985,497,6
1,5,-0.003847592,3,1.966876149,1,6,0.194199376,283,4
1,14,-0.003967133,3,2.56956216,5,8,0.151881693,267,8
1,9,-0.002931274,5,2.380568477,2,8,0.174740163,532,9
0,15,-0.001621,1,1.946246398,4,5,0.056984577,617,9
1,8,-0.007553167,1,1.750959155,7,4,0.109776408,485,6
0,5,0.000938386,2,1.778948556,1,2,0.116785541,625,5
0,8,0.002865877,1,2.828306421,4,7,0.316104815,475,8
0,10,-0.001278362,1,2.006300439,0,7,0.178861397,394,2
0,8,-0.003893963,3,2.098219426,5,5,0.181562325,528,8
0,3,-0.003084918,3,2.983259315,0,6,0.085847204,351,4
0,7,-0.011708296,1,2.272151972,0,4,0.143654087,483,3
0,6,-0.011213713,2,2.027324356,3,3,0.182169616,337,2
0,7,-0.005090872,1,1.702899801,4,8,0.094685632,425,5
0,2,-0.014363323,1,1.111723065,0,5,0.039994265,281,4
0,4,-0.001453715,2,1.904782463,2,3,0.120124937,238,2
0,9,-0.003026273,1,2.120137173,1,3,0.062257683,424,3
1,5,-0.009328356,1,2.175248383,0,8,0.098047513,451,5
0,7,-0.010052028,1,1.259039523,2,4,0.073719578,437,4
0,10,-0.004817649,4,1.94150138,1,6,0.131976718,435,3
0,7,-0.00698052,1,1.408321215,3,5,0.062578729,203,6
0,7,-0.008383562,1,1.164899325,0,2,0.082788296,229,1
0,17,-0.005460893,1,1.937089132,1,5,0.147139622,420,9
1,16,-0.001684768,4,2.807786253,2,7,0.094080461,470,6
0,4,0.002553039,3,1.411036836,1,3,0.204133827,410,5
0,5,-0.005085696,1,1.650123251,2,4,0.108739548,354,9
0,12,-0.005029292,1,2.292211299,6,9,0.167322983,244,5
0,6,-0.007278513,1,2.154200438,2,4,0.132209678,222,3
0,4,-0.012015915,1,1.966726088,0,4,0.144815872,522,3
0,8,0.002109908,5,1.924866342,3,4,0.122026875,516,4
1,14,0.004430231,3,2.411009697,6,9,0.256165457,625,9
0,10,-0.007212499,2,3.107688606,5,8,0.081601942,542,5
0,9,-0.003902184,4,1.535832863,2,6,0.179340019,351,9
0,10,0.005520193,1,2.256327692,3,6,0.079311137,475,7
0,6,-0.007482179,3,2.316272481,0,3,0.140564357,319,5
1,9,0.003324636,3,2.492331823,4,8,0.182570811,505,6
0,2,0.002876995,4,2.574164957,1,6,0.069003928,454,3
0,13,-0.001410677,1,2.5283815,4,5,0.183376188,617,5
1,11,-0.006107811,4,2.1095231,3,6,0.178211652,505,8
