"DATE","GBPUSD","EURUSD","USDJPY","VOL","OIL","SP500","INTO_USD","NUM_FAILS"
"01/11/1989 00:00",1.581,1.137397634,143.25,0.110966608,20.07,343.3,-1139,0
"02/11/1989 00:00",1.5677,1.133401337,143.5,0.111303824,20.01,339.5,3647,3
"03/11/1989 00:00",1.5725,1.135589371,142.5,0.111069168,20.21,339.4,-1614,1
"06/11/1989 00:00",1.5762,1.130710086,143.62,0.097288944,20.1,333.4,-87,4
"07/11/1989 00:00",1.5817,1.13481616,143.47,0.096532656,20.02,336.3,-2897,3
"08/11/1989 00:00",1.5855,1.135718342,143.12,0.094524992,19.87,339.95,-1526,0
"09/11/1989 00:00",1.5872,1.134558657,142.65,0.09370104,19.92,338.1,-1921,1
"10/11/1989 00:00",1.579,1.126760563,143.15,0.095229072,19.84,341.65,-3015,6
"13/11/1989 00:00",1.5802,1.124100719,143.9,0.095408496,19.59,342.15,293,2
"14/11/1989 00:00",1.5815,1.129177958,143.79,0.095184128,19.5,339.8,-3319,4
"15/11/1989 00:00",1.5825,1.136751165,143.55,0.096884912,19.67,342.5,-2814,6
"16/11/1989 00:00",1.5822,1.138433515,143.47,0.0963292,19.86,341.8,191,1
"17/11/1989 00:00",1.568,1.13391541,144.35,0.091971552,19.91,342.85,2112,3
"20/11/1989 00:00",1.5595,1.13662196,144.62,0.091905744,19.99,341.1,3218,2
"21/11/1989 00:00",1.5642,1.146131805,143.9,0.094475008,19.96,341.55,3316,8
"22/11/1989 00:00",1.5625,1.147578609,143.95,0.079227248,19.82,342.55,194,1
"24/11/1989 00:00",1.5622,1.155535013,143.57,0.078537008,19.82,345.25,-1730,6
"27/11/1989 00:00",1.562,1.164822365,143.3,0.061857072,19.63,346.7,-555,7
"28/11/1989 00:00",1.562,1.162520344,143.67,0.062495168,19.25,346.55,-647,1
"29/11/1989 00:00",1.564,1.169317119,142.82,0.06401864,19.4,345.15,-129,5
"30/11/1989 00:00",1.5692,1.166725003,142.85,0.06472944,19.89,347.5,-3077,2
"01/12/1989 00:00",1.5645,1.168770453,143.1,0.0629724,20.3,351.5,-3489,1
"04/12/1989 00:00",1.5627,1.170548987,143.55,0.062887328,20.25,352.15,-3314,1
"05/12/1989 00:00",1.5697,1.169727454,143.75,0.06095776,20.34,350.3,-3562,0
"06/12/1989 00:00",1.578,1.18049817,143.8,0.065215712,20.47,349.35,-2816,9
"07/12/1989 00:00",1.5765,1.175640724,144.27,0.06515896,20.51,348.85,-3135,4
"08/12/1989 00:00",1.5787,1.174674028,144.2,0.0648368,20.48,353.55,-2411,0
"11/12/1989 00:00",1.5882,1.178411501,144.5,0.0651284,20.7,353.75,-1967,3
"12/12/1989 00:00",1.6022,1.19232145,144.1,0.071602384,20.65,356.9,-1439,11
"13/12/1989 00:00",1.6012,1.199184555,143.75,0.072469072,20.77,357.95,-1512,5
"14/12/1989 00:00",1.5977,1.198465964,144.05,0.071078512,20.65,354.75,-1648,0
"15/12/1989 00:00",1.6057,1.204529029,143.9,0.071685696,21.1,354.15,-1058,5
"18/12/1989 00:00",1.6045,1.206272618,144.14,0.069169184,22.22,347.65,-982,1
"19/12/1989 00:00",1.603,1.201345507,143.75,0.071362144,21.28,347.2,-1333,4
"20/12/1989 00:00",1.601,1.193175039,143.95,0.075739456,21.21,347.85,-1583,6
